Date,Price,Open,High,Low,Change %
12-Mar-20,19718000,19883000,19890000,19655000,-0.67%
11-Mar-20,19658000,19739000,19895000,19658000,-0.16%
10-Mar-20,20051000,19658000,20090000,19654000,-1.48%
09-Mar-20,20060000,20067000,20122000,19988000,1.44%
06-Mar-20,20246000,20070000,20247000,20060000,0.40%
05-Mar-20,20090000,20246000,20250000,20015000,0.94%
04-Mar-20,20469000,20090000,20507000,20060000,-0.33%
03-Mar-20,20585000,20469000,20650000,20369000,0.35%
02-Mar-20,20549000,20585000,20679000,20459000,0.98%
28-Feb-20,20976000,20552000,21000000,20540000,0.24%
27-Feb-20,20961000,20976000,21027000,20871000,1.09%
26-Feb-20,20853000,20983000,21075000,20722000,0.00%
25-Feb-20,20850000,20850000,21040000,20804000,0.25%
24-Feb-20,20793000,20850000,20885000,20610000,0.08%
21-Feb-20,20908000,20786000,21000000,20610000,0.56%
20-Feb-20,20860000,20908000,20955000,20725000,-0.19%
19-Feb-20,20841000,20876000,20994000,20810000,0.13%
18-Feb-20,20894000,20841000,20965000,20724000,-0.41%
17-Feb-20,20899000,20907000,20933000,20824000,0.04%
14-Feb-20,20939000,20899000,20998000,20859000,-0.08%
13-Feb-20,21202000,20927000,21267000,20900000,-0.29%
12-Feb-20,20911000,21205000,21232000,20805000,-0.39%
11-Feb-20,21056000,20911000,21106000,20840000,0.05%
10-Feb-20,21139000,21060000,21153000,21005000,-0.31%
07-Feb-20,21196000,21125000,21226000,21096000,-0.32%
06-Feb-20,21103000,21195000,21197000,21061000,-0.17%
05-Feb-20,21016000,21103000,21235000,20900000,-0.41%
04-Feb-20,21126000,21017000,21179000,20998000,-0.14%
03-Feb-20,21469000,21124000,21647000,21085000,-0.31%
31-Jan-20,22378000,21469000,22487000,21467000,0.56%
30-Jan-20,22310000,22378000,22470000,22111000,0.19%
29-Jan-20,22888000,22310000,23033000,22288000,-0.10%
28-Jan-20,23450000,22881000,23848000,22473000,0.04%
27-Jan-20,24327000,23450000,24346000,23438000,-0.06%
24-Jan-20,24692000,24327000,25768000,24206000,-0.26%
23-Jan-20,25059000,24682000,25313000,24530000,-0.35%
22-Jan-20,24777000,25059000,25329000,24590000,0.08%
21-Jan-20,24743000,24765000,25000000,24326000,-0.10%
20-Jan-20,24915000,24737000,25247000,24360000,0.05%
17-Jan-20,25063000,24915000,25169000,24868000,-0.42%
16-Jan-20,24823000,25063000,25200000,24673000,-0.13%
15-Jan-20,24726000,24823000,25005000,24501000,0.21%
14-Jan-20,24885000,24720000,24936000,24641000,-0.06%
13-Jan-20,25151000,24892000,25187000,24843000,0.12%
10-Jan-20,25186000,25151000,25306000,25009000,0.14%
09-Jan-20,25013000,25186000,25246000,24969000,0.01%
08-Jan-20,25065000,25013000,25180000,24947000,-0.43%
07-Jan-20,25815000,25065000,26069000,25065000,-0.38%
06-Jan-20,26120000,25816000,26410000,25770000,0.31%
03-Jan-20,26169000,26120000,26323000,26062000,-0.11%
02-Jan-20,25706000,26169000,26170000,25530000,-0.36%
01-Jan-20,26004000,25706000,26030000,25422000,0.00%
31-Dec-19,25910000,26004000,26246000,25700000,0.12%
30-Dec-19,26145000,25902000,26246000,25714000,0.20%
27-Dec-19,26269000,26162000,26308000,25964000,0.71%
26-Dec-19,25880000,26264000,26562000,25719000,0.06%
25-Dec-19,26448000,25890000,26533000,25770000,0.03%
24-Dec-19,26470000,26448000,26588000,26140000,0.00%
23-Dec-19,25151000,26460000,26550000,24631000,0.08%
20-Dec-19,25559000,25151000,25700000,24600000,-0.39%
19-Dec-19,25424000,25560000,25797000,25240000,0.08%
18-Dec-19,25387000,25424000,25825000,25346000,-0.33%
17-Dec-19,25439000,25387000,25610000,25009000,0.05%
16-Dec-19,25252000,25437000,25640000,25130000,0.21%
13-Dec-19,25795000,25252000,25799000,24925000,-0.08%
12-Dec-19,26084000,25794000,26400000,25715000,0.00%
11-Dec-19,26086000,26084000,26232000,25900000,0.33%
10-Dec-19,26776000,26086000,26828000,26026000,0.26%
09-Dec-19,26610000,26776000,27070000,26400000,0.05%
06-Dec-19,26617000,26610000,26654000,26070000,-0.41%
05-Dec-19,26057000,26616000,26850000,25600000,0.23%
